plant_common_name,scientific_name,family,plant_part,extract_solvent,TPC_mg_GAE_per_g,TFC_mg_QE_per_g,DPPH_IC50_ug_per_mL,FRAP_umol_Fe_per_g,reported_bioactivity
Green tea,Camellia sinensis,Theaceae,Leaf,70% Ethanol,152.4,48.6,9.8,842.0,Antioxidant; Antibacterial
Black seed,Nigella sativa,Ranunculaceae,Seed,Absolute Ethanol,84.3,22.1,28.5,410.5,Antibacterial; Anti-inflammatory
Turmeric,Curcuma longa,Zingiberaceae,Rhizome,Methanol,118.7,31.4,14.2,690.2,Anti-inflammatory; Antioxidant
Neem,Azadirachta indica,Meliaceae,Leaf,Methanol,96.2,27.8,21.7,520.1,Antibacterial; Antifungal
Moringa,Moringa oleifera,Moringaceae,Leaf,70% Ethanol,105.9,35.2,17.9,608.4,Antioxidant; Nutritional
Holy basil,Ocimum sanctum,Lamiaceae,Leaf,Methanol,88.5,29.6,23.4,498.7,Adaptogen; Antibacterial
Ginger,Zingiber officinale,Zingiberaceae,Rhizome,Ethanol,74.1,19.8,31.2,388.9,Anti-inflammatory; Antioxidant
Garlic,Allium sativum,Amaryllidaceae,Bulb,Aqueous,52.6,12.3,44.8,266.3,Antibacterial; Cardioprotective
Aloe vera,Aloe barbadensis,Asphodelaceae,Leaf gel,Aqueous,38.9,9.7,58.6,198.4,Wound healing; Anti-inflammatory
Ashwagandha,Withania somnifera,Solanaceae,Root,Methanol,67.3,18.4,34.7,352.6,Adaptogen; Antioxidant
Fenugreek,Trigonella foenum-graecum,Fabaceae,Seed,Ethanol,59.8,16.1,39.5,301.7,Antidiabetic; Antioxidant
Peppermint,Mentha piperita,Lamiaceae,Leaf,Methanol,101.4,33.7,18.6,571.9,Antioxidant; Carminative
Rosemary,Rosmarinus officinalis,Lamiaceae,Leaf,Ethanol,124.6,41.2,12.9,712.5,Antioxidant; Antimicrobial
Clove,Syzygium aromaticum,Myrtaceae,Flower bud,Ethanol,168.9,52.4,8.4,905.7,Antibacterial; Antioxidant
Cinnamon,Cinnamomum verum,Lauraceae,Bark,Methanol,139.2,44.8,11.6,758.3,Antimicrobial; Antidiabetic
Amla,Phyllanthus emblica,Phyllanthaceae,Fruit,Aqueous,175.3,46.9,7.9,948.1,Antioxidant; Immunomodulatory
Tulsi seed,Ocimum basilicum,Lamiaceae,Seed,Ethanol,72.8,21.5,29.8,376.4,Antioxidant; Antibacterial
Pomegranate,Punica granatum,Lythraceae,Peel,Methanol,182.6,54.1,7.2,982.4,Antioxidant; Antibacterial
Guava,Psidium guajava,Myrtaceae,Leaf,Ethanol,113.5,38.9,15.4,652.8,Antibacterial; Antidiarrheal
Lemongrass,Cymbopogon citratus,Poaceae,Leaf,Aqueous,61.2,17.3,37.1,318.5,Antioxidant; Antifungal
Fennel,Foeniculum vulgare,Apiaceae,Seed,Ethanol,64.9,18.9,35.8,341.2,Carminative; Antioxidant
Coriander,Coriandrum sativum,Apiaceae,Seed,Methanol,57.4,15.2,41.3,289.6,Antioxidant; Antimicrobial
Black pepper,Piper nigrum,Piperaceae,Fruit,Ethanol,69.7,20.4,33.5,364.8,Bioenhancer; Antioxidant
Cardamom,Elettaria cardamomum,Zingiberaceae,Seed,Methanol,78.9,23.6,27.9,398.7,Antioxidant; Carminative
Licorice,Glycyrrhiza glabra,Fabaceae,Root,Ethanol,92.4,26.7,22.8,509.3,Anti-inflammatory; Antiviral
Sage,Salvia officinalis,Lamiaceae,Leaf,Methanol,119.8,39.6,13.7,678.9,Antioxidant; Antimicrobial
Thyme,Thymus vulgaris,Lamiaceae,Leaf,Ethanol,131.5,42.9,12.1,731.6,Antibacterial; Antioxidant
Oregano,Origanum vulgare,Lamiaceae,Leaf,Methanol,145.7,47.3,10.8,796.2,Antimicrobial; Antioxidant
Hibiscus,Hibiscus sabdariffa,Malvaceae,Calyx,Aqueous,108.3,36.4,16.7,624.1,Antihypertensive; Antioxidant
Marigold,Calendula officinalis,Asteraceae,Flower,Ethanol,83.6,25.1,25.3,442.8,Wound healing; Anti-inflammatory
Chamomile,Matricaria chamomilla,Asteraceae,Flower,Methanol,79.5,24.3,26.8,421.5,Anti-inflammatory; Sedative
Eucalyptus,Eucalyptus globulus,Myrtaceae,Leaf,Ethanol,97.8,31.9,19.5,547.2,Antimicrobial; Decongestant
Bitter gourd,Momordica charantia,Cucurbitaceae,Fruit,Methanol,55.1,14.6,42.9,278.4,Antidiabetic; Antioxidant
Papaya,Carica papaya,Caricaceae,Leaf,Aqueous,49.7,13.1,49.2,241.9,Antimalarial; Antioxidant
Basil holy dark,Ocimum tenuiflorum,Lamiaceae,Leaf,Ethanol,90.2,28.4,22.1,503.7,Adaptogen; Antibacterial
Ajwain,Trachyspermum ammi,Apiaceae,Seed,Methanol,86.7,26.2,24.1,466.3,Antimicrobial; Carminative
Curry leaf,Murraya koenigii,Rutaceae,Leaf,Ethanol,94.9,30.5,20.8,531.4,Antioxidant; Antidiabetic
Bael,Aegle marmelos,Rutaceae,Fruit,Methanol,71.6,19.2,32.4,371.8,Antidiarrheal; Antioxidant
